,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,Total_Pts
215,263,Antonee Robinson,FUL,DEF,7.7,3.06,0.0,1.69,0.0,0.0,0.0,3.21,0.0,2.69,0.0,0.0,0.0,1.89,0.0,0.0,12.540000000000001
216,3364,Simon Adingra,BHA,MID,7.0,0.0,0.0,0.0,2.87,3.21,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,0.0,2.73,12.030000000000001
217,1252,Matt Turner,FOR,GK,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,24,Willian,FUL,MID,7.7,3.62,0.0,2.72,0.0,0.0,0.0,3.38,0.0,3.21,0.0,0.0,0.0,2.82,0.0,0.0,15.75
219,741,James Trafford,BUR,GK,6.6,0.0,0.0,5.66,0.0,0.0,0.0,3.21,0.0,3.01,0.0,0.0,3.11,0.0,0.0,0.0,14.99
220,545,Eric Dier,TOT,DEF,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,1080,Romelu Lukaku,CHE,FOR,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,1030,Kristoffer Ajer,BRE,DEF,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,1397,Marcos Senesi,BOU,DEF,6.9,0.0,0.0,4.16,0.0,0.0,0.0,2.65,0.0,2.68,0.0,0.0,0.0,1.41,0.0,0.0,10.9
224,624,Pedro Neto,WOL,MID,7.6,0.0,0.0,0.0,0.31,0.0,0.0,0.0,1.17,0.0,1.5,0.0,2.31,0.0,0.0,0.0,5.29
225,429,Victor Lindelöf,MUN,DEF,7.9,0.0,0.0,0.0,1.3,0.0,0.0,3.13,0.0,2.4,0.0,0.0,2.81,0.0,0.0,0.0,9.64
226,410,Anthony Martial,MUN,FOR,7.9,0.0,0.0,0.0,0.93,0.0,0.0,1.03,0.0,1.1,0.0,0.0,1.09,0.0,0.0,0.0,4.15
227,716,Thomas Partey,ARS,MID,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,706,Nélson Semedo,WOL,DEF,7.5,0.0,0.0,0.0,2.47,0.0,0.0,0.0,2.21,0.0,1.73,0.0,2.96,0.0,0.0,0.0,9.370000000000001
229,58,Marvelous Nakamba,LUT,MID,6.6,0.31,0.0,1.93,0.0,0.0,0.0,2.61,0.0,2.42,0.0,0.0,2.78,0.0,0.0,0.0,10.049999999999999
230,1171,Nathan Patterson,EVE,DEF,7.2,0.99,0.0,1.07,0.0,0.0,0.0,0.75,0.0,0.0,0.58,0.0,1.01,0.0,0.0,0.0,4.4
231,77,Adam Webster,BHA,DEF,8.0,0.0,0.0,0.0,0.63,0.89,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,1.23,4.0
232,1037,Jadon Sancho,MUN,MID,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,802,Jean-Philippe Mateta,CRY,FOR,6.7,0.0,0.0,0.69,0.0,0.89,0.0,0.0,0.0,0.0,0.9,0.0,0.88,0.0,0.0,0.0,3.36
234,458,Sean Longstaff,NEW,MID,7.2,0.79,0.0,1.79,0.0,0.0,0.0,2.39,0.0,2.71,0.0,0.0,0.0,0.0,2.17,0.0,9.850000000000001
235,3377,Jordan Beyer,BUR,DEF,6.6,0.0,0.0,5.43,0.0,0.0,0.0,2.79,0.0,2.56,0.0,0.0,2.09,0.0,0.0,0.0,12.87
236,733,Craig Dawson,WOL,DEF,7.3,0.0,0.0,0.0,3.56,0.0,0.0,0.0,2.38,0.0,2.31,0.0,4.22,0.0,0.0,0.0,12.469999999999999
237,159,Jorginho,ARS,MID,7.6,0.0,0.0,0.0,1.04,0.0,0.0,1.05,0.0,0.0,0.0,1.24,0.0,1.22,0.0,0.0,4.55
238,1199,Christian Eriksen,MUN,MID,7.9,0.0,0.0,0.0,0.29,0.0,0.0,0.67,0.0,0.8,0.0,0.0,1.18,0.0,0.0,0.0,2.94
239,207,Jarrad Branthwaite,EVE,DEF,7.0,2.16,0.0,2.64,0.0,0.0,0.0,1.54,0.0,0.0,1.05,0.0,2.71,0.0,0.0,0.0,10.100000000000001
240,370,Harvey Elliott,LIV,MID,7.5,0.0,0.0,0.0,0.78,0.0,0.0,0.73,0.0,0.79,0.0,0.0,0.0,0.0,0.71,0.0,3.01
241,1254,Diego Carlos,AVL,DEF,7.3,0.0,0.0,0.0,2.44,0.0,4.57,0.0,0.0,2.13,0.0,0.0,3.91,0.0,0.0,0.0,13.05
242,101,Neal Maupay,BRE,FOR,7.3,0.0,0.0,0.0,4.11,0.0,0.0,0.0,0.0,0.0,4.67,0.0,3.44,0.0,0.0,0.0,12.22
243,456,Matt Ritchie,NEW,DEF,6.5,1.21,0.0,1.5,0.0,0.0,0.0,1.07,0.0,1.2,0.0,0.0,0.0,0.0,0.53,0.0,5.510000000000001
244,1333,Cheick Doucouré,CRY,MID,6.9,0.0,0.0,2.15,0.0,2.73,0.0,0.0,0.0,0.0,2.66,0.0,2.4,0.0,0.0,0.0,9.94
245,445,Jacob Murphy,NEW,MID,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,1110,Marc Cucurella,CHE,DEF,8.3,1.71,0.0,2.35,0.0,0.0,0.0,0.0,1.44,0.0,1.55,0.0,1.41,0.0,0.0,0.0,8.459999999999999
247,127,Jay Rodriguez,BUR,FOR,6.8,0.0,0.0,2.86,0.0,0.0,0.0,1.89,0.0,2.16,0.0,0.0,1.7,0.0,0.0,0.0,8.61
248,1400,Amadou Onana,EVE,MID,7.4,0.98,0.0,2.14,0.0,0.0,0.0,2.34,0.0,0.0,1.92,0.0,2.23,0.0,0.0,0.0,9.61
