,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,Total_Pts
70,377,Oleksandr Zinchenko,ARS,DEF,8.8,3.48,0.0,0.0,0.0,6.34,0.0,3.03,0.0,0.0,5.24,0.0,3.66,0.0,0.0,5.42,0.0,5.01,0.0,3.3,3.57,2.68,5.28,3.83,5.37,56.209999999999994
71,42,Jack Grealish,MCI,MID,9.2,3.12,0.0,0.0,0.0,0.0,2.73,3.73,0.0,0.0,0.0,2.75,3.14,0.0,0.0,0.0,3.41,0.0,2.98,3.34,3.34,0.0,0.0,0.0,0.0,28.540000000000003
72,262,Aleksandar Mitrović,FUL,FOR,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2079,Pau Torres,AVL,DEF,8.1,0.0,5.77,0.0,0.0,0.0,5.98,0.0,5.04,0.0,0.0,4.89,0.0,2.47,0.0,0.0,4.06,0.0,2.46,2.79,3.53,6.13,2.63,5.39,4.27,55.41000000000001
74,95,Robert Sánchez,CHE,GK,6.6,4.01,0.0,0.0,0.0,5.23,0.0,0.0,0.0,4.43,0.0,3.66,4.02,0.0,0.0,0.0,5.19,0.0,4.56,5.54,6.12,5.32,5.7,5.33,5.14,64.25
75,4,Eddie Nketiah,ARS,FOR,7.6,0.82,0.0,0.0,0.0,1.21,0.0,0.81,0.0,0.0,1.15,0.0,0.99,0.0,0.0,1.27,0.0,1.13,0.0,0.97,1.23,0.99,1.35,1.13,1.2,14.25
76,1638,Joško Gvardiol,MCI,DEF,9.3,3.96,0.0,0.0,0.0,0.0,3.61,5.12,0.0,0.0,0.0,3.42,3.84,0.0,0.0,0.0,3.82,0.0,3.8,5.38,5.56,0.0,0.0,0.0,0.0,38.510000000000005
77,1659,Rasmus Højlund,MUN,FOR,9.1,3.86,0.0,0.0,0.0,0.0,3.36,4.22,0.0,0.0,4.73,0.0,0.0,3.81,0.0,3.35,0.0,0.0,4.45,5.5,3.5,4.03,4.26,4.02,4.62,53.71
78,16,Martinelli,ARS,MID,10.2,3.62,0.0,0.0,0.0,5.16,0.0,3.2,0.0,0.0,4.51,0.0,3.48,0.0,0.0,4.91,0.0,3.98,0.0,3.41,4.21,3.39,4.61,3.85,4.09,52.42
79,152,Mason Mount,MUN,MID,8.7,3.25,0.0,0.0,0.0,0.0,2.36,2.88,0.0,0.0,3.3,0.0,0.0,2.59,0.0,2.44,0.0,0.0,2.93,3.42,2.56,2.83,2.87,2.74,3.02,37.190000000000005
80,1469,Enzo Fernández,CHE,MID,8.4,4.17,0.0,0.0,0.0,5.29,0.0,0.0,0.0,4.12,0.0,3.21,3.59,0.0,0.0,0.0,3.44,0.0,3.99,4.63,5.28,4.58,5.22,4.98,4.74,57.24
81,3,Bernd Leno,FUL,GK,6.8,0.0,0.0,4.11,0.0,0.0,4.34,4.5,0.0,0.0,0.0,4.18,0.0,0.0,5.4,0.0,3.44,0.0,5.56,5.12,3.92,5.19,5.01,3.69,4.0,58.459999999999994
82,48,Ezri Konsa,AVL,DEF,7.9,0.0,4.87,0.0,0.0,0.0,5.2,0.0,4.34,0.0,0.0,4.2,0.0,2.17,0.0,0.0,3.6,0.0,2.15,2.49,2.95,5.18,2.17,4.53,3.55,47.400000000000006
83,975,Marc Guéhi,CRY,DEF,8.0,2.91,0.0,0.0,3.57,0.0,0.0,4.65,0.0,0.0,4.98,0.0,5.19,0.0,0.0,0.0,4.59,0.0,4.84,2.87,1.64,3.02,2.88,4.3,2.03,47.470000000000006
84,1076,Yoane Wissa,BRE,MID,7.6,4.56,0.0,0.0,0.0,3.64,0.0,4.52,0.0,0.0,0.0,3.51,3.5,0.0,0.0,4.59,0.0,0.0,3.61,4.27,3.93,0.0,0.0,0.0,0.0,36.129999999999995
85,959,João Pedro,BHA,FOR,7.7,2.2,0.0,0.0,0.0,0.0,3.01,2.46,0.0,0.0,0.0,3.22,2.45,0.0,0.0,0.0,2.32,0.0,2.7,2.78,2.08,2.36,2.79,2.61,3.1,34.08
86,3412,Sandro Tonali,NEW,MID,8.2,3.77,0.0,0.0,0.0,2.08,0.0,2.03,0.0,0.0,2.15,0.0,1.19,0.0,0.0,1.23,0.0,1.11,0.0,1.1,0.62,0.56,0.62,0.5,0.49,17.449999999999996
87,72,Pascal Groß,BHA,MID,8.2,2.47,0.0,0.0,0.0,0.0,5.6,5.39,0.0,0.0,0.0,6.43,5.4,0.0,0.0,0.0,4.33,0.0,5.24,5.51,3.63,5.34,4.82,5.77,5.82,65.75
88,236,Jordan Pickford,EVE,GK,7.0,2.96,0.0,0.0,0.0,0.0,3.96,4.22,0.0,0.0,4.17,0.0,0.0,3.82,0.0,4.54,0.0,3.71,0.0,3.79,4.38,3.59,2.93,4.56,3.97,50.6
89,1112,Odsonne Édouard,CRY,FOR,7.0,3.04,0.0,0.0,3.87,0.0,0.0,3.44,0.0,0.0,3.66,0.0,3.46,0.0,0.0,0.0,3.58,0.0,4.1,3.35,2.58,3.34,3.06,3.38,2.87,43.730000000000004
90,171,Reece James,CHE,DEF,9.1,1.21,0.0,0.0,0.0,3.22,0.0,0.0,0.0,2.71,0.0,2.14,2.28,0.0,0.0,0.0,3.08,0.0,2.56,3.4,4.7,3.7,4.2,4.12,3.84,41.16
91,307,Harvey Barnes,NEW,MID,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,784,Morgan Gibbs-White,FOR,MID,7.9,4.17,0.0,0.0,0.0,0.0,2.99,0.0,3.41,0.0,0.0,3.29,3.24,0.0,0.0,3.68,0.0,0.0,3.18,3.27,3.33,3.95,2.72,3.37,2.95,43.550000000000004
93,3212,Pedro Porro,TOT,DEF,7.8,0.0,0.0,5.87,5.57,0.0,0.0,0.0,0.0,4.38,4.98,0.0,0.0,4.37,0.0,0.0,1.81,0.0,5.44,3.68,5.02,5.42,3.03,5.7,3.2,58.47000000000001
94,1247,Dominic Solanke,BOU,FOR,7.8,5.58,0.0,0.0,0.0,5.04,0.0,3.08,0.0,0.0,3.97,0.0,4.48,0.0,0.0,0.0,4.53,0.0,3.88,3.9,5.17,4.33,5.08,4.05,4.43,57.519999999999996
