,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,Total_Pts
304,1438,Sasa Kalajdzic,WOL,FOR,6.7,0.0,0.0,1.51,0.0,0.0,0.0,1.44,0.0,1.21,0.0,1.51,0.0,0.0,0.0,5.67
305,189,Vicente Guaita,CRY,GK,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,3365,Vitinho,BUR,DEF,6.6,0.0,3.31,0.0,0.0,0.0,2.02,0.0,2.07,0.0,0.0,1.7,0.0,0.0,0.0,9.1
307,686,Dean Henderson,CRY,GK,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,1378,Harry Toffolo,FOR,DEF,6.6,2.33,0.0,0.0,0.0,0.0,3.02,0.0,1.34,0.0,0.0,2.2,0.0,0.0,0.0,8.89
309,1889,Arnaut Danjuma,EVE,MID,7.4,0.0,0.54,0.0,0.0,0.0,0.48,0.0,0.0,0.44,0.0,0.54,0.0,0.0,0.0,2.0
310,1735,Antoine Semenyo,BOU,MID,6.6,0.0,3.2,0.0,0.0,0.0,2.59,0.0,3.0,0.0,0.0,0.0,2.49,0.0,0.0,11.28
311,2319,Ben Doak,LIV,FOR,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,297,Kalvin Phillips,MCI,MID,7.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.33,0.0,0.0,0.0,0.8900000000000001
313,1383,Manor Solomon,TOT,MID,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,3269,Auston Trusty,SHU,DEF,6.5,0.0,0.95,0.0,0.0,1.19,0.0,0.0,3.53,0.0,0.0,-0.01,0.0,0.0,0.0,5.66
315,3484,Beto,EVE,FOR,7.7,0.0,1.15,0.0,0.0,0.0,1.1,0.0,0.0,0.92,0.0,1.21,0.0,0.0,0.0,4.38
316,696,Sergio Reguilón,MUN,DEF,7.6,0.0,0.0,0.28,0.0,0.0,0.43,0.0,0.5,0.0,0.0,0.66,0.0,0.0,0.0,1.87
317,3362,Mahmoud Dahoud,BHA,MID,7.5,0.0,0.0,1.08,1.17,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,1.04,4.45
318,718,Ben Godfrey,EVE,DEF,7.1,0.0,0.63,0.0,0.0,0.0,0.47,0.0,0.0,0.43,0.0,0.7,0.0,0.0,0.0,2.23
319,3403,Amari'i Bell,LUT,DEF,7.1,0.0,2.29,0.0,0.0,0.0,1.84,0.0,2.59,0.0,0.0,1.93,0.0,0.0,0.0,8.65
320,594,Pablo Fornals,WHU,MID,7.4,0.0,0.0,0.93,0.0,0.0,0.88,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.9,3.46
321,120,Charlie Taylor,BUR,DEF,6.8,0.0,3.28,0.0,0.0,0.0,1.74,0.0,1.73,0.0,0.0,1.41,0.0,0.0,0.0,8.16
322,3477,Gustavo Hamer,SHU,MID,6.8,0.0,2.71,0.0,0.0,2.53,0.0,0.0,3.12,0.0,0.0,2.1,0.0,0.0,0.0,10.459999999999999
323,3411,Issa Kaboré,LUT,DEF,7.0,0.0,0.47,0.0,0.0,0.0,0.92,0.0,2.17,0.0,0.0,2.02,0.0,0.0,0.0,5.58
