,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,Total_Pts
111,209,Dominic Calvert-Lewin,EVE,FOR,7.9,3.45,0.0,3.27,0.0,0.0,3.74,0.0,0.0,0.0,0.0,3.19,0.0,3.71,0.0,3.01,0.0,3.37,0.0,3.6,0.0,4.02,0.0,2.6,33.96
112,3439,Milos Kerkez,BOU,DEF,6.7,2.34,0.0,2.28,0.0,0.0,1.61,0.0,0.0,1.03,0.0,0.0,0.0,0.96,0.0,1.26,0.0,0.0,1.15,0.65,0.0,1.23,0.0,0.89,13.4
113,1407,Thilo Kehrer,WHU,DEF,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,266,Bobby Reid,FUL,MID,6.7,0.9,0.0,0.95,0.0,0.0,0.96,0.0,0.0,0.0,0.97,0.0,0.0,1.0,0.0,0.0,0.0,1.04,0.0,1.0,0.0,0.9,0.0,1.17,8.89
115,1237,David Brooks,BOU,MID,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,70,Solly March,BHA,MID,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,260,Jay Stansfield,FUL,FOR,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,3366,Lyle Foster,BUR,FOR,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,66,Yves Bissouma,TOT,MID,7.3,4.52,0.0,4.92,0.0,0.0,0.0,0.0,4.57,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11,3.18,3.74,4.18,2.83,4.81,39.88
120,741,James Trafford,BUR,GK,6.6,3.27,0.0,5.09,0.0,0.0,3.9,0.0,0.0,4.27,0.0,0.0,5.05,0.0,0.0,0.0,0.0,3.63,0.0,4.18,0.0,3.37,0.0,5.4,38.16
121,3495,Odisseas Vlachodimos,FOR,GK,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,405,Harry Maguire,MUN,DEF,8.0,0.54,0.0,0.0,0.0,0.79,0.0,1.04,0.0,2.03,0.0,0.0,0.0,0.0,0.0,3.5,0.0,2.95,0.0,2.42,0.0,1.78,2.17,1.58,18.799999999999997
123,1689,Christopher Nkunku,CHE,FOR,9.4,1.02,0.0,0.0,0.0,1.79,0.0,2.1,0.0,0.0,0.0,4.0,0.0,0.0,2.64,0.0,0.0,3.07,0.0,3.97,3.78,3.37,3.08,4.07,32.89
124,3390,Mads Juel Andersen,LUT,DEF,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.66,0.0,0.82,0.0,1.02,2.76
125,1333,Cheick Doucouré,CRY,MID,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.51
