,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,MD_29_Pts,Total_Pts
136,1307,Ryan Yates,FOR,MID,6.8,0.96,0.0,0.0,0.0,0.9,0.0,0.0,1.05,0.0,1.0,0.0,1.02,0.0,0.0,0.0,0.0,1.01,1.05,0.0,0.0,1.03,0.0,0.98,0.0,1.17,0.0,1.31,0.0,1.07,12.55
137,658,Timothy Castagne,FUL,DEF,7.7,2.95,0.0,0.0,3.7,0.0,0.0,0.0,2.39,0.0,4.62,0.0,3.85,0.0,0.0,2.58,0.0,0.0,3.58,0.0,0.0,0.45,0.14,4.24,0.0,2.77,0.0,1.54,1.21,3.57,37.59
138,1171,Nathan Patterson,EVE,DEF,7.2,0.34,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.35,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.38,0.51,0.33,0.49,0.0,0.46,0.0,0.61,0.04,0.37,5.050000000000001
139,875,Mads Roerslev,BRE,DEF,6.8,2.57,0.0,0.0,1.39,0.0,0.0,0.0,1.63,0.0,0.96,0.0,0.0,0.98,0.0,0.8,0.0,0.0,0.98,0.0,0.0,0.92,0.0,0.84,0.0,0.93,0.0,0.71,0.0,0.65,13.360000000000001
140,662,Callum Wilson,NEW,FOR,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.48,1.71,3.19
141,1377,Rico Lewis,MCI,DEF,7.0,0.0,0.63,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.63,0.0,0.72,0.0,0.0,0.9,0.0,0.0,0.15,0.64,0.84,0.0,0.96,0.0,0.8,0.58,0.93,8.709999999999999
142,604,Aaron Cresswell,WHU,DEF,7.7,0.37,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.52,0.47,0.0,0.59,0.0,0.0,0.66,0.0,0.0,0.8,0.0,0.0,0.68,0.0,0.53,0.0,0.5,0.0,0.82,0.0,0.41,6.910000000000001
143,3172,Kevin Schade,BRE,MID,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.77,0.0,0.0,0.64,0.0,0.54,0.0,0.0,0.5,0.0,0.0,0.47,0.0,0.56,0.0,0.44,0.0,0.48,0.0,0.5,5.17
144,959,João Pedro,BHA,FOR,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,1.36,0.0,1.59,0.0,0.0,3.48,0.0,0.0,0.87,1.86,3.93,0.64,3.88,0.64,3.72,3.07,3.99,29.769999999999996
145,491,John Egan,SHU,DEF,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.09,0.55,0.9800000000000001
