,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,MD_29_Pts,MD_30_Pts,MD_31_Pts,MD_32_Pts,MD_33_Pts,MD_34_Pts,MD_35_Pts,MD_36_Pts,Total_Pts
384,3398,Cauley Woodrow,LUT,FOR,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,297,Kalvin Phillips,MCI,MID,7.1,0.0,0.0,1.41,1.99,0.0,0.0,1.42,0.0,0.0,1.68,0.0,1.43,0.0,0.0,0.0,1.52,0.0,0.0,1.31,0.0,0.0,0.0,0.06,1.23,0.0,1.32,1.31,0.0,1.61,1.31,0.24,1.45,1.58,1.35,0.97,1.95,25.139999999999997
386,3402,Gabriel Osho,LUT,DEF,6.9,1.09,0.0,0.0,3.74,0.0,0.0,0.0,2.13,0.0,0.0,0.62,0.0,0.0,0.0,2.31,0.0,0.0,0.46,2.34,1.16,0.0,2.2,0.0,1.22,0.92,0.0,2.97,0.23,0.32,3.96,0.69,2.58,2.73,2.12,0.71,2.74,37.24000000000001
387,1438,Sasa Kalajdzic,WOL,FOR,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388,1897,Mark Flekken,BRE,GK,6.9,0.0,0.0,4.04,5.09,0.0,0.0,4.02,0.0,0.0,3.64,0.0,0.0,0.0,5.36,4.51,0.0,0.0,0.0,3.86,0.0,0.0,5.46,0.0,4.76,4.65,0.0,4.24,0.0,6.06,10.66,0.0,5.1,4.98,4.73,0.17,4.41,85.74
389,1174,Philippe Coutinho,AVL,MID,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,3405,Pelly Ruddock Mpanzu,LUT,MID,6.7,0.52,0.0,0.0,0.66,0.0,0.0,0.0,0.68,0.0,0.0,0.66,0.0,0.0,0.0,0.74,0.0,0.0,0.16,0.79,0.4,0.0,0.5,0.0,0.27,0.61,0.0,0.26,0.02,0.25,0.43,0.06,0.22,0.23,0.22,0.06,0.23,7.97
391,542,Serge Aurier,FOR,DEF,7.0,0.0,0.0,0.0,0.15,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.36,0.0,0.0,0.0,0.37,0.0,0.0,0.35,0.0,0.53,0.49,0.0,0.36,0.0,0.68,0.47,0.09,0.38,0.58,0.48,0.08,0.54,6.670000000000001
392,608,Issa Diop,FUL,DEF,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.45,0.0,0.0,0.0,0.9,0.0,0.67,0.0,0.0,0.96,0.89,0.0,0.66,0.0,0.83,0.28,0.0,0.94,0.76,0.58,0.35,1.01,9.52
393,137,Malang Sarr,CHE,DEF,7.3,0.0,0.71,0.0,0.0,0.0,0.45,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5699999999999998
